order_id,created_at,sku_name,quantity,asp_inr,cogs_inr,gross_revenue_inr,discount_inr,net_revenue_inr,city,payment_method,courier,is_returned,order_status,financial_status
ORD10001,2026-02-06T17:01:00+05:30,Collagen Gummies 30pc,1,699,85,699,104.85,594.15,Pune,COD,Shadowfax,False,delivered,paid
ORD10002,2026-02-06T13:17:00+05:30,Ashwagandha 60pc,2,499,65,998,0,998,Chennai,COD,Ecom Express,True,returned,refunded
ORD10003,2026-02-06T08:46:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Delhi,COD,Delhivery,False,delivered,paid
ORD10004,2026-02-06T08:42:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Jaipur,Prepaid,Delhivery,False,delivered,paid
ORD10005,2026-02-06T10:23:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Mumbai,Prepaid,BlueDart,False,delivered,paid
ORD10006,2026-02-06T18:44:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Chennai,Prepaid,Delhivery,False,delivered,paid
ORD10007,2026-02-06T11:58:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Kolkata,COD,Delhivery,True,returned,refunded
ORD10008,2026-02-06T12:47:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Delhi,COD,Ecom Express,False,delivered,paid
ORD10009,2026-02-06T21:07:00+05:30,Ashwagandha 60pc,1,499,65,499,0,499,Delhi,Prepaid,BlueDart,False,delivered,paid
ORD10010,2026-02-06T08:43:00+05:30,Collagen Gummies 30pc,3,699,85,2097,0,2097,Chennai,COD,Shadowfax,False,delivered,paid
ORD10011,2026-02-06T19:56:00+05:30,Biotin Hair Gummies,1,599,75,599,29.95,569.05,Bengaluru,Prepaid,DTDC,False,delivered,paid
ORD10012,2026-02-06T16:49:00+05:30,Biotin Hair Gummies,1,599,75,599,29.95,569.05,Pune,Prepaid,Shadowfax,False,delivered,paid
ORD10013,2026-02-06T12:15:00+05:30,Omega-3 Fish Oil 60pc,2,799,90,1598,0,1598,Hyderabad,COD,Ecom Express,False,delivered,paid
ORD10014,2026-02-06T16:10:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Lucknow,Prepaid,Delhivery,False,delivered,paid
ORD10015,2026-02-06T14:42:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Bengaluru,Prepaid,BlueDart,False,delivered,paid
ORD10016,2026-02-06T18:03:00+05:30,Ashwagandha 60pc,1,499,65,499,74.85,424.15,Bengaluru,COD,Delhivery,False,delivered,paid
ORD10017,2026-02-06T19:59:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Kolkata,Prepaid,Delhivery,False,delivered,paid
ORD10018,2026-02-06T19:03:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Delhi,Prepaid,Ecom Express,False,delivered,paid
ORD10019,2026-02-06T15:08:00+05:30,Ashwagandha 60pc,1,499,65,499,74.85,424.15,Mumbai,Prepaid,Ecom Express,False,delivered,paid
ORD10020,2026-02-06T09:59:00+05:30,Vitamin C Serum 30ml,3,899,120,2697,0,2697,Delhi,COD,Delhivery,True,returned,refunded
ORD10021,2026-02-06T14:16:00+05:30,Biotin Hair Gummies,1,599,75,599,0,599,Bengaluru,COD,Ecom Express,False,delivered,paid
ORD10022,2026-02-06T08:47:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Delhi,Prepaid,Shadowfax,False,delivered,paid
ORD10023,2026-02-06T09:43:00+05:30,Vitamin C Serum 30ml,1,899,120,899,134.85,764.15,Bengaluru,COD,Shadowfax,False,delivered,paid
ORD10024,2026-02-06T22:16:00+05:30,Omega-3 Fish Oil 60pc,1,799,90,799,0,799,Lucknow,COD,Shadowfax,False,delivered,paid
ORD10025,2026-02-06T22:04:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Delhi,COD,Ecom Express,False,delivered,paid
ORD10026,2026-02-06T13:18:00+05:30,Collagen Gummies 30pc,2,699,85,1398,0,1398,Hyderabad,COD,Delhivery,False,delivered,paid
ORD10027,2026-02-06T16:19:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Chennai,Prepaid,Shadowfax,False,delivered,paid
ORD10028,2026-02-06T11:43:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Ahmedabad,COD,DTDC,False,delivered,paid
ORD10029,2026-02-06T18:16:00+05:30,Ashwagandha 60pc,1,499,65,499,24.95,474.05,Bengaluru,COD,Delhivery,False,delivered,paid
ORD10030,2026-02-06T17:35:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Chennai,COD,Shadowfax,False,delivered,paid
ORD10031,2026-02-06T22:55:00+05:30,Collagen Gummies 30pc,1,699,85,699,104.85,594.15,Delhi,Prepaid,Delhivery,False,delivered,paid
ORD10032,2026-02-06T13:50:00+05:30,Vitamin C Serum 30ml,1,899,120,899,0,899,Mumbai,Prepaid,BlueDart,False,delivered,paid
ORD10033,2026-02-06T21:30:00+05:30,Multivitamin Women 30pc,1,549,70,549,0,549,Ahmedabad,COD,BlueDart,False,delivered,paid
ORD10034,2026-02-06T09:49:00+05:30,Collagen Gummies 30pc,1,699,85,699,0,699,Bengaluru,Prepaid,DTDC,False,delivered,paid
